group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
1,ASTN2,-0.03089517,1.2161052,0.9753531422689786,0.983858687029831,1.0,1.0
1,ZNF350-AS1,-0.0336411,-0.0055006268,0.9731633468074867,0.9821499609722267,1.0,1.0
1,SNURF,-0.033881772,-0.10987586,0.9729714292284951,0.9821499609722267,1.0,1.0
1,THNSL1,-0.034489177,-0.6647417,0.9724870727988234,0.9821499609722267,1.0,1.0
1,C5orf17,-0.037613306,1.3014767,0.9699959999668232,0.9804136181048917,1.0,1.0
1,KCTD18,-0.04038101,1.7271141,0.9677893688476492,0.9787672781062196,1.0,1.0
1,AL591043.2,-0.043437522,2.3447483,0.9653527677971453,0.9765945587628332,1.0,1.0
1,PLSCR2,-0.045362882,0.72411144,0.9638180656165908,0.9758576377286189,1.0,1.0
1,RTKN2,-0.048676107,,0.9611774159230507,0.9741157897539025,1.0,1.0
1,NME5,-0.048686422,0.9004842,0.9611691959409029,0.9741157897539025,1.0,1.0
1,CHD1L,-0.05328895,0.19927381,0.9575016820351404,0.9718441278415386,1.0,1.0
1,FP236383.3,-0.05393991,0.23723382,0.9569830407180913,0.971608792913663,1.0,1.0
1,FAN1,-0.054036178,,0.9569063417820289,0.971608792913663,1.0,1.0
1,HIST1H3H,-0.059429478,0.4068729,0.9526100332713789,0.968329670784108,1.0,1.0
1,ZBTB39,-0.060039178,0.8851021,0.9521244320418731,0.9681265233366945,1.0,1.0
1,GVQW3,-0.062272824,-0.29145333,0.9503455687185276,0.9668981341796912,1.0,1.0
1,NUP210L,-0.06228543,0.3893187,0.9503355296501326,0.9668981341796912,1.0,1.0
1,ABI3BP,-0.0628447,0.74622214,0.9498901680254959,0.9668981341796912,1.0,1.0
1,MYH3,-0.06704268,0.30469337,0.9465477272745341,0.9644823157913147,1.0,1.0
1,STS,-0.06817727,3.2794952,0.9456445239186947,0.964141934106692,1.0,1.0
1,SLCO5A1,-0.07316028,0.68695855,0.9416785704610021,0.9609659628680347,1.0,1.0
1,AC023157.3,-0.075219736,,0.9400398843873174,0.9598719494587798,1.0,1.0
1,IGSF22,-0.075816825,0.4351078,0.9395648311318312,0.9598027657394804,1.0,1.0
1,AP001372.2,-0.07604374,0.50254554,0.9393842982887394,0.9598027657394804,1.0,1.0
1,BCL2,-0.07650216,,0.9390195949875283,0.9598027657394804,1.0,1.0
1,GAS2,-0.07689525,-0.46834347,0.9387068720898097,0.9598027657394804,1.0,1.0
1,PRMT5-AS1,-0.07877936,0.6115108,0.9372081224017907,0.9587141058868559,1.0,1.0
1,FBLL1,-0.078836665,0.2602425,0.9371625434490694,0.9587141058868559,1.0,1.0
1,PVALB,-0.08096372,0.42854577,0.9354707996693064,0.9578044935870687,1.0,1.0
1,AL157400.3,-0.08209488,0.5134124,0.9345712674555295,0.957172749135228,1.0,1.0
1,SPEF2,-0.08259799,,0.934171198337295,0.9571130048779616,1.0,1.0
1,RND1,-0.08663208,,0.9309639644222674,0.9549215596314387,1.0,1.0
1,FRY-AS1,-0.0892806,0.4168463,0.9288589122007707,0.9533395924072132,1.0,1.0
1,BCDIN3D,-0.0911372,5.8344007,0.9273835764715911,0.9521138051775002,1.0,1.0
1,CFAP58,-0.09218583,0.43515605,0.9265503949795841,0.9515467530132862,1.0,1.0
1,NARF,-0.09480111,,0.9244728023225715,0.9499890367815809,1.0,1.0
1,AL135978.2,-0.097123004,0.5092744,0.9226287099499517,0.9483816957859333,1.0,1.0
1,CKMT2,-0.097857624,,0.9220453492761298,0.9480696944909037,1.0,1.0
1,C17orf75,-0.09860943,,0.9214483808375185,0.9477435076738047,1.0,1.0
1,EFCAB6,-0.099008255,-0.60669684,0.9211317143050634,0.947705511104025,1.0,1.0
1,EID2,-0.09980361,,0.9205002385444974,0.9473435018799383,1.0,1.0
